courseId,createdDate,updatedDate,name,year,primarySkillId,primarySkillName,locationName,alias,completed,description,descriptionUrl,planned,courseStartDate,courseEndDate,fullName,registrationEndDate,inviteOnly
16,2020-01-27 06:15:21.813898,2020-06-02 09:49:08.084615,RSS React 2020,,javascript,JavaScript,,react-2020-Q1,t,Курс по React/Redux,,f,2020-02-05 06:12:15.345+00,2020-03-18 06:12:18.391+00,RSS React 2020,2020-02-09 06:12:31.757+00,t
23,2020-02-25 09:28:08.842897,2020-07-28 06:07:15.142387,TEST COURSE,,javascript,JavaScript,,test-course,f,TEST COURSE,,f,2020-02-25 09:28:00.105+00,2020-08-06 09:28:01.698+00,TEST COURSE,,t
18,2020-02-11 08:40:16.050523,2020-09-10 18:30:58.028305,iOS 2020,,ios-obj-c,iOS Objective-C,,ios-2020,f,iOS 2020 course,,f,2020-02-17 08:39:56.164+00,2020-06-01 08:40:00.109+00,Rolling Scopes iOS 2020,2020-03-08 09:33:55.611+00,f
9,2019-05-24 15:20:38.564615,2019-09-09 16:14:35.099569,RS 2018 Q1,2018.0,javascript,JavaScript,Minsk,rs-2018-q1,t,2018,,f,2017-12-31 21:00:00.01+00,2018-06-30 21:00:00.01+00,Rolling Scopes School 2018 Q1,,f
6,2019-05-22 11:56:03.343815,2019-09-09 16:14:58.34156,RS 2016 Q3,2016.0,javascript,JavaScript,Minsk,rs-2016-q3,t,RS 2016 Q3,,f,2016-09-01 19:48:14.839+00,2016-12-31 19:48:14.839+00,Rolling Scopes School 2016 Q3,,f
5,2019-05-15 14:25:29.875928,2019-09-09 16:15:05.821534,RS 2015 Q1,2015.0,javascript,JavaScript,Minsk,rs-2015-q1,t,RS 2015 Q1,,f,2015-01-01 19:48:45.209+00,2015-06-30 19:48:45.209+00,Rolling Scopes School 2015 Q1,,f
4,2019-05-15 14:25:00.254528,2019-09-09 16:15:29.980035,RS 2016 Q1,2016.0,javascript,JavaScript,Minsk,rs-2016-q1,t,RS 2016 Q1,,f,2016-01-01 19:49:05.026+00,2016-06-30 19:49:05.026+00,Rolling Scopes School 2016 Q1,,f
2,2019-04-17 11:41:21.396686,2019-09-09 16:15:23.708058,RS 2018 Q3,2018.0,javascript,JavaScript,Minsk,rs-2018-q3,t,RS 2018 Q3,,f,2018-09-01 19:47:14.081+00,2018-12-31 19:47:14.081+00,Rolling Scopes School 2018 Q3,,f
1,2019-04-17 11:41:21.396686,2019-09-09 16:15:18.068023,RS 2019 Q1,2019.0,javascript,JavaScript,Minsk,rs-2019-q1,t,Rolling Scopes School 2018 Q1,https://github.com/rolling-scopes-school/lectures,f,2019-01-01 00:49:13.461+00,2019-08-25 00:49:13.461+00,Rolling Scopes School 2019 Q1,,f
10,2019-07-08 12:55:53.666184,2019-10-03 15:44:20.448036,RS-UZ 2019,2019.0,javascript,JavaScript,Tashkent,rs-uz-2019-q3,t,Uzbekistan JS,,f,2019-07-01 00:44:52.891+00,2019-09-30 00:44:52.891+00,Rolling Scopes School 2019: Uzbekistan,,f
