taskId,createdDate,updatedDate,name,descriptionUrl,description,verification,githubPrRequired,useJury,allowStudentArtefacts,githubRepoName,sourceGithubRepoUrl,type,tags,discipline,attributes,courseTaskId,createdDateCourseTask,updatedDateCourseTask,mentorStartDate,mentorEndDate,maxScore,stageId,scoreWeight,checker,taskOwnerId,studentStartDate,studentEndDate,courseId,pairsCount,typeCourseTask,disabled,createdDateCourse,updatedDateCourse,nameCourse,year,primarySkillId,primarySkillName,locationName,alias,completed,descriptionCourse,descriptionUrlCourse,planned,courseStartDate,courseEndDate,fullName,registrationEndDate,inviteOnly
413,2019-08-29 10:57:34.732592,2019-11-11 18:19:01.013044,ST JS Test,http://learn.javascript.ru/,,manual,f,f,f,,,test,,,{},296,2019-08-29 11:01:40.171488,2019-08-29 13:11:10.876319,,,40.0,16.0,1.0,mentor,,2019-04-10 00:00:00+00,2019-04-10 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
253,2019-05-17 13:02:30.233767,2019-05-17 13:02:30.233767,tdd,,,manual,,f,f,,,,,,{},292,2019-08-29 10:30:11.446774,2019-08-29 13:09:13.674882,,,100.0,16.0,1.0,mentor,,2019-05-24 00:00:00+00,2019-05-24 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
410,2019-08-29 09:41:00.400898,2019-08-29 10:08:08.993969,ST Chat,https://github.com/rolling-scopes-school/RS-Short-Track/wiki/6.-Chat,,manual,t,f,f,,,,,,{},288,2019-08-29 09:41:58.974585,2019-08-29 13:09:30.697999,,,120.0,16.0,1.0,mentor,,2019-04-29 00:00:00+00,2019-05-09 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
407,2019-08-29 09:32:17.606001,2019-08-29 10:08:44.864627,ST Custom Lodash,https://github.com/rolling-scopes-school/RS-Short-Track/wiki/3.-Custom-Lodash,,manual,t,f,f,,,,,,{},285,2019-08-29 09:33:10.381953,2019-08-29 13:13:11.434936,,,100.0,16.0,0.8,mentor,,2019-04-15 00:00:00+00,2019-04-21 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
230,2019-05-17 13:01:38.681206,2019-08-29 10:10:10.985834,ST JS Assignments,https://github.com/rolling-scopes-school/RS-Short-Track/wiki/7.-JS-assignments,,manual,t,f,f,,,,,,{},289,2019-08-29 09:58:57.892573,2019-08-29 13:12:19.464896,,,150.0,16.0,1.0,mentor,,2019-05-17 00:00:00+00,2019-05-25 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
408,2019-08-29 09:34:32.473242,2019-08-29 10:08:34.054101,ST Cyclic menu,https://github.com/rolling-scopes-school/RS-Short-Track/wiki/4.-Cyclic-menu,,manual,t,f,f,,,,,,{},286,2019-08-29 09:35:18.595928,2019-08-29 13:10:44.923046,,,100.0,16.0,0.8,mentor,,2019-04-19 00:00:00+00,2019-04-24 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
405,2019-08-29 09:16:23.185166,2019-08-29 10:09:04.204396,ST Auto Complete,https://github.com/rolling-scopes-school/RS-Short-Track/wiki/1.-Auto-Complete,,manual,t,f,f,,,,,,{},284,2019-08-29 09:30:56.310838,2019-08-29 14:37:45.254898,,,120.0,16.0,0.3,mentor,,2019-04-10 00:00:00+00,2019-04-11 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
411,2019-08-29 10:11:56.69667,2019-08-29 10:11:56.69667,ST Catalogue. P.1 React Client,https://github.com/rolling-scopes-school/RS-Short-Track/wiki/FINAL:-Catalogue.-P.1-React-Client,,manual,t,f,f,,,,,,{},290,2019-08-29 10:14:03.973481,2019-08-29 13:12:48.801235,,,100.0,16.0,1.0,mentor,,2019-05-29 00:00:00+00,2019-06-04 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
414,2019-08-29 10:57:50.108237,2019-08-29 10:57:50.108237,ST JS Test 2,http://learn.javascript.ru/,,manual,f,f,f,,,,,,{},297,2019-08-29 11:02:33.197825,2019-08-29 13:11:53.271845,,,100.0,16.0,0.6,mentor,,2019-04-19 00:00:00+00,2019-04-19 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
404,2019-08-29 08:12:24.073776,2019-10-28 10:40:19.063008,ST Read me,https://github.com/rolling-scopes-school/RS-Short-Track/wiki/0.-Readme,,manual,t,f,f,,,,,,{},280,2019-08-29 09:03:11.296772,2019-08-29 13:06:48.615496,,,100.0,16.0,0.1,mentor,,2019-04-08 00:00:00+00,2019-04-09 00:00:00+00,12,,,f,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
